Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
Sailor Moon Crystal,43,10,47,You Decide,Neutral,2,31220,6.3,5.3,3.9
Seven Pounds,33,43,23,Do not Watch,Negative,0,1644,6.5,7.7,4.7
She's Out of My League,63,17,20,Go and Watch,Positive,1,10598,6.7,6.9,4.5
Snow Day,57,10,33,Go and Watch,Positive,1,4861,8.8,6.4,5
Star Trek,43,17,40,Go and Watch,Positive,1,13660,9,6.2,5
Stuart Little,20,27,53,You Decide,Neutral,2,1596,8.2,5.5,4.6
Sword of Trust,40,50,10,Do not Watch,Negative,0,2967,7.5,6.9,4.8
Talladega Nights: The Ballad of Ricky Bobby,17,7,40,Do not Watch,Negative,0,1245,7.9,6.8,4.9
The American,30,43,27,Do not Watch,Negative,0,1164,7,6.5,4.5
The Best of Enemies,70,30,0,Go and Watch,Positive,1,6441,7.2,5.4,4.2
The Game,47,20,33,Go and Watch,Positive,1,121402,7.9,6.4,4.8
The Karate Kid,47,10,43,Go and Watch,Positive,1,2310,8.2,7.6,5
The Karate Kid Part II,30,3,13,Go and Watch,Positive,1,1081,7.9,7.8,5
The Karate Kid Part III,10,0,27,You Decide,Neutral,2,1637,7.3,6.6,4.6
The Life of David Gale,17,13,57,You Decide,Neutral,2,1177,5.6,7.2,4.3
The Long Riders,43,20,37,Go and Watch,Positive,1,4471,7.9,6.9,4.9
The Queen,50,27,23,Go and Watch,Positive,1,13230,8.5,6.2,4.9
The Strangers,40,33,27,Go and Watch,Positive,1,9564,8.1,6.2,4.8
The Sum of All Fears,23,73,3,Do not Watch,Negative,0,11656,8.4,7.8,5
The Tourist,40,20,40,Go and Watch,Positive,1,1500,8.2,7.5,5
Underworld,30,30,40,You Decide,Neutral,2,14093,7.8,8.1,5
Underworld: Awakening,13,10,27,You Decide,Neutral,2,31760,7.7,6.4,4.7
Underworld: Rise of the Lycans,10,13,13,Do not Watch,Negative,0,1336,8.3,8.3,5
Voiceless,40,30,30,Go and Watch,Positive,1,15014,8.3,7.7,5
What Dreams May Come,70,30,0,Go and Watch,Positive,1,5639,7.8,6.6,4.8
Why Do Fools Fall in Love,73,17,10,Go and Watch,Positive,1,5073,7.9,7.3,5
Working Title,33,10,57,You Decide,Neutral,2,6660,8.4,7.9,5
Young Royals,20,13,67,You Decide,Neutral,2,3941,8.5,6.3,4.9
America: The Motion Picture,27,17,17,Go and Watch,Positive,1,254473,8.8,7.5,5
Deranged,33,33,33,Go and Watch,Positive,1,1823,7.2,7.3,4.8
Droppin' Cash: Los Angeles,0,0,0,Go and Watch,Positive,1,13447,7.6,8,5
Legend of Exorcism,20,13,67,You Decide,Neutral,2,11856,7.5,4.1,3.9
Lying and Stealing,13,83,3,Do not Watch,Negative,0,174645,8.8,7.4,5
Mommy Issues,7,33,60,Go and Watch,Positive,1,1593,7.7,6.9,4.9
Prime Time,30,27,43,You Decide,Neutral,2,10742,7.2,6.3,4.5
Somos.,3,47,50,You Decide,Neutral,2,1483,6.8,7.6,4.8
Sophie: A Murder in West Cork,0,7,0,Do not Watch,Negative,0,1796,7.5,8.2,5
The Daily Life of the Immortal King,77,17,7,Go and Watch,Positive,1,113931,6.8,7.8,4.9
StarBeam,30,13,57,You Decide,Neutral,2,2341,7.7,7.2,5
A Way Back Home,40,27,33,Go and Watch,Positive,1,1466,7.5,7.6,5
Killing Them Softly,7,90,3,Do not Watch,Negative,0,5784,7.4,6.4,4.6
The Seven Deadly Sins,20,70,10,Do not Watch,Negative,0,1111,6.9,6.9,4.6
Wanted,33,30,37,You Decide,Neutral,2,1349,6.3,6.9,4.4
Into the Wind,43,30,27,Go and Watch,Positive,1,8979,8.3,4.6,4.3
Wonder Boy,17,43,40,Do not Watch,Negative,0,6882,6,6.5,4.2
Here Comes the Rain,20,13,67,You Decide,Neutral,2,2803,7.1,7.3,4.8
The Ice Road,53,17,30,Go and Watch,Positive,1,8045,7.2,8.2,5
Ray,10,13,77,You Decide,Neutral,2,1825,7.1,5.7,4.3
Sex/Life,40,33,27,Go and Watch,Positive,1,14717,7.6,5.1,4.2
Godzilla Singular Point,40,23,37,Go and Watch,Positive,1,1628,7.8,6.9,4.9
Jiva!,7,0,93,You Decide,Neutral,2,16175,7.5,6.8,4.8
Sisters on Track,33,23,43,You Decide,Neutral,2,17536,7.4,5.4,4.3
The Naked Director,17,27,57,You Decide,Neutral,2,5102,8.2,7.3,5
The Seventh Day,40,13,47,You Decide,Neutral,2,2655,6.7,5.2,4
Good on Paper,67,23,10,Go and Watch,Positive,1,1894,7.2,8,5
Murder by the Coast,7,23,0,Go and Watch,Positive,1,39818,7.2,8.5,5
The House of Flowers: The Movie,0,0,10,You Decide,Neutral,2,1076,8.8,7.4,5
The Parisian Agency: Exclusive Properties,23,0,0,Go and Watch,Positive,1,1093,8,6.9,5
Too Hot to Handle,37,17,47,You Decide,Neutral,2,7295,7.7,7.2,5
Broken,20,63,17,Do not Watch,Negative,0,2254,8.3,5.7,4.7
O Vendedor de Sonhos,0,13,23,You Decide,Neutral,2,2309,7.8,6.1,4.6
Osuofia in London,40,17,37,Go and Watch,Positive,1,20740,7.5,6.6,4.7
Osuofia in London II,0,0,0,Go and Watch,Positive,1,1194,7.4,6.5,4.6
This Is Pop,53,27,20,Go and Watch,Positive,1,31860,7.4,8.4,5
#Selfie,20,7,73,You Decide,Neutral,2,5088,8.2,8.6,5
#Selfie 69,0,0,0,Go and Watch,Positive,1,2443,6.6,6.8,4.5
Love Is a Story,67,20,13,Go and Watch,Positive,1,1808,7.5,8.7,5
The Mole,30,33,37,You Decide,Neutral,2,12673,6.5,6.9,4.5
"Nevertheless,",67,13,20,Go and Watch,Positive,1,2772,5.2,6.9,4
Bangkok Love Stories: Innocence,0,3,0,Do not Watch,Negative,0,1806,8,6.3,4.8
Black Lightning,33,0,67,You Decide,Neutral,2,1587,7.8,6.6,4.8
Call My Agent!,43,27,30,Go and Watch,Positive,1,13254,8.2,5.8,4.7
Champions,83,7,10,Go and Watch,Positive,1,86999,9,6.9,5
Charité at War,3,10,0,Go and Watch,Positive,1,1660,6.9,7.5,4.8
Cleo & Cuquin,13,17,47,You Decide,Neutral,2,1251,7.3,6.6,4.6
Deadwind,17,13,70,You Decide,Neutral,2,5394,7.7,7,4.9
Gameboys Level-Up Edition,0,0,3,You Decide,Neutral,2,4002,7.3,6.6,4.6
Glee,80,3,17,Go and Watch,Positive,1,11746,8.2,7.8,5
Hap and Leonard,40,20,40,Go and Watch,Positive,1,1450,7.1,8.6,5
Locked Up,30,43,27,Do not Watch,Negative,0,2085,6.9,7.8,4.9
Mobile Suit Gundam II: Soldiers of Sorrow,0,0,3,You Decide,Neutral,2,10057,6.7,6.9,4.5
Mobile Suit Gundam III: Encounters in Space,3,0,10,Go and Watch,Positive,1,2800,7.1,7.2,4.8
Mobile Suit Gundam: Char's Counterattack,13,3,43,You Decide,Neutral,2,2386,7.6,7.3,5
No Time for Shame,23,70,7,Do not Watch,Negative,0,1328,7.2,5.8,4.3
Pose,27,13,60,You Decide,Neutral,2,7751,6.8,6.2,4.3
REA(L)OVE,3,3,10,Go and Watch,Positive,1,1193,7.8,6.6,4.8
Riverdale,47,13,40,Go and Watch,Positive,1,1168,2.8,5.8,2.9
Schitt's Creek,27,17,57,You Decide,Neutral,2,2668,6.4,7.7,4.7
The Assassination of Gianni Versace,20,73,7,Do not Watch,Negative,0,13939,7.2,6.2,4.5
The Judgement,40,40,20,Go and Watch,Positive,1,2115,6.6,8.6,5
The Last Dance,37,23,40,You Decide,Neutral,2,7480,8.4,6.6,5
They've Gotta Have Us,33,23,27,Go and Watch,Positive,1,4141,6.8,6.4,4.4
Why Are You Like This,50,40,10,Go and Watch,Positive,1,20990,6.6,6.2,4.3
A Family,60,30,10,Go and Watch,Positive,1,7643,7.4,7.5,5
Elite,27,17,57,You Decide,Neutral,2,11030,5.8,7.1,4.3
Fatherhood,33,23,43,You Decide,Neutral,2,3804,7.7,7.4,5
Hospital Playlist,27,17,57,You Decide,Neutral,2,1243,8.5,6.7,5
Jagame Thandhiram,10,7,53,Do not Watch,Negative,0,3247,8.1,7.8,5
Kambili: The Whole 30 Yards,3,0,7,You Decide,Neutral,2,3755,5,8.1,4.4
Mobile Suit Gundam I,57,23,20,Go and Watch,Positive,1,1087,6.4,6.8,4.4
Rurouni Kenshin: The Final,13,7,27,Do not Watch,Negative,0,4503,6,7.7,4.6
So Not Worth It,43,40,17,Go and Watch,Positive,1,2216,8.1,6.4,4.8
The Rational Life,47,43,10,Go and Watch,Positive,1,2310,6.3,7.7,4.7
Ali & Ratu Ratu Queens,7,3,83,You Decide,Neutral,2,9217,6.8,6.9,4.6
Aziza,3,3,93,You Decide,Neutral,2,10024,5.2,6.7,4
Besieged Bread,7,3,13,Go and Watch,Positive,1,37601,8.4,8,5
Black Summer,30,7,63,Do not Watch,Negative,0,7064,7.3,6.6,4.6
Elite Short Stories: Carla Samuel,3,0,20,Go and Watch,Positive,1,1082,6.5,6,4.2
Fan Girl,67,20,13,Go and Watch,Positive,1,1237,6.5,7,4.5
Katla,0,0,100,You Decide,Neutral,2,3117,7.6,5.4,4.3
Record of Ragnarok,40,7,53,Do not Watch,Negative,0,1505,6.9,7.7,4.9
Red Snow,40,17,43,You Decide,Neutral,2,1917,7.7,6.3,4.7
Silver Linings Playbook,40,17,43,You Decide,Neutral,2,2410,7.4,8,5
The Gift,93,3,3,Go and Watch,Positive,1,3818,7.3,7.8,5
A Man For The Week End,50,23,27,Go and Watch,Positive,1,18074,8.1,7.7,5
Biking Borders,10,0,7,You Decide,Neutral,2,7854,8.3,7.4,5
Elite Short Stories: Omar Ander Alexis,0,0,10,You Decide,Neutral,2,8825,8.3,7.4,5
Let's Eat,40,23,37,Go and Watch,Positive,1,9955,7.3,6.7,4.7
Lowriders,50,20,30,Go and Watch,Positive,1,1388,7.6,6,4.5
Millennials,47,33,20,Go and Watch,Positive,1,21425,7.9,7.2,5
Penguin Town,40,10,50,You Decide,Neutral,2,3821,8.2,6,4.7
Security,57,23,20,Go and Watch,Positive,1,27886,8.3,8.4,5
Silver Skates,23,0,37,You Decide,Neutral,2,27635,7.5,6.1,4.5
Avengers Climate Conundrum,3,0,0,Go and Watch,Positive,1,38802,8.1,8.1,5
Beyond Evil,10,77,13,Do not Watch,Negative,0,5567,8.4,7.5,5
Elite Short Stories: Nadia Guzmán,0,0,23,You Decide,Neutral,2,6433,6.8,7,4.6
FTA,17,3,80,You Decide,Neutral,2,1042,6.3,7.3,4.5
Headspace: Unwind Your Mind,0,0,0,Go and Watch,Positive,1,1549,6.8,7.8,4.9
Life of Crime,23,53,23,Do not Watch,Negative,0,73511,8,6.8,4.9
Power Rangers Dino Fury,13,57,30,Do not Watch,Negative,0,2390,7.5,7.2,4.9
Rhyme Time Town,3,3,0,Go and Watch,Positive,1,3346,6.3,6.6,4.3
Rogue Warfare: Death of a Nation,0,0,0,Go and Watch,Positive,1,11519,8.5,5.3,4.6
Sir! No Sir!,27,63,10,Do not Watch,Negative,0,1039,6.4,7.4,4.6
The American Bible Challenge,0,0,0,Go and Watch,Positive,1,17048,8.1,7.6,5
The Reason I Jump,40,27,33,Go and Watch,Positive,1,12761,6.9,7.2,4.7
Elite Short Stories: Guzmán Caye Rebe,0,0,13,You Decide,Neutral,2,4413,7.4,7.7,5
Metallica: Some Kind of Monster,13,3,30,You Decide,Neutral,2,21273,6.7,7.4,4.7
Picture a Scientist,53,17,30,Go and Watch,Positive,1,20132,6.5,7,4.5
The Devil Below,30,53,17,Do not Watch,Negative,0,11760,7.5,5.9,4.5
Bling Empire - The Afterparty,0,0,0,Go and Watch,Positive,1,37450,6.9,6.2,4.4
Cobra Kai - The Afterparty,0,0,0,Go and Watch,Positive,1,1043,8.5,6.3,4.9
Love (ft. Marriage and Divorce),90,0,10,Go and Watch,Positive,1,1077,7.5,6.7,4.7
To All the Boys: Always and Forever - The Afterparty,0,0,0,Go and Watch,Positive,1,3085,8.2,6.5,4.9
LEGO Friends: The Power of Friendship,0,0,0,Go and Watch,Positive,1,2354,7.2,6.4,4.5
Lupin,3,10,87,You Decide,Neutral,2,2300,7.2,6.3,4.5
Sarbath,17,3,80,You Decide,Neutral,2,19171,7.9,6.8,4.9
Skater Girl,43,7,50,Do not Watch,Negative,0,4295,6.3,6.2,4.2
Trese,3,17,80,You Decide,Neutral,2,1843,3.8,5.6,3.1
Trese After Dark,0,0,0,Go and Watch,Positive,1,6256,6.7,6.4,4.4
Wish Dragon,70,20,10,Go and Watch,Positive,1,2210,7.7,5,4.2
A Haunted House 2,13,73,13,Do not Watch,Negative,0,4538,6.8,6.7,4.5
Blind Intersections,23,37,3,Do not Watch,Negative,0,52886,8,6.2,4.7
Camellia Sisters,7,3,3,Go and Watch,Positive,1,3523,8.3,5.8,4.7
Copenhagen,37,13,50,You Decide,Neutral,2,1272,7.1,6.8,4.6
Locombianos,0,13,20,You Decide,Neutral,2,10689,5.4,7.1,4.2
Until Midnight,40,30,30,Go and Watch,Positive,1,15197,5.5,7.3,4.3
Awake,33,10,57,You Decide,Neutral,2,2277,7.6,6,4.5
Confusion Na Wa,13,17,10,Do not Watch,Negative,0,2051,7.1,7,4.7
"Fresh, Fried & Crispy",63,7,10,Do not Watch,Negative,0,198512,8.6,8.3,5
L.A.’s Finest,3,37,60,You Decide,Neutral,2,2387,8.5,6.8,5
Tragic Jungle,3,20,7,You Decide,Neutral,2,1012,8.4,6.9,5
Guru Aur Bhole,0,0,7,You Decide,Neutral,2,1673,7.2,5.7,4.3
Vampire Academy,57,10,33,Go and Watch,Positive,1,1252,8.1,6.7,4.9
"Newly Rich, Newly Poor",13,13,3,You Decide,Neutral,2,1146,7.5,7.6,5
A Private War,23,63,13,Do not Watch,Negative,0,10407,7.2,5.8,4.3
Kitty Love: An Homage to Cats,0,0,3,You Decide,Neutral,2,3758,9.2,6,5
Small Chops,37,23,40,You Decide,Neutral,2,1141,7.2,5.9,4.4
Breaking Boundaries: The Science Of Our Planet,17,0,10,Go and Watch,Positive,1,2235,8.1,7.4,5
Feel Good,70,23,7,Go and Watch,Positive,1,1181,8.1,4.5,4.2
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,0,0,0,Go and Watch,Positive,1,3737,6.8,7.4,4.7
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,0,0,0,Go and Watch,Positive,1,1077,7.7,2.6,3.4
Human: The World Within,57,27,17,Go and Watch,Positive,1,7549,7.9,7.5,5
Sweet & Sour,80,10,10,Go and Watch,Positive,1,4793,8.6,8.6,5
Sweet Tooth,83,17,0,Go and Watch,Positive,1,5578,7.7,6.8,4.8
Trippin' with the Kandasamys,0,0,7,You Decide,Neutral,2,6170,8,9.1,5
Xtreme,10,0,90,You Decide,Neutral,2,50462,7.7,6.1,4.6
Alan Saldaña: Locked Up,0,0,0,Go and Watch,Positive,1,4759,6.9,7.8,4.9
Creator's File: GOLD,0,0,0,Go and Watch,Positive,1,5120,6,5,3.7
Dancing Queens,47,20,33,Go and Watch,Positive,1,4208,8.2,6.2,4.8
From Stress to Happiness,57,33,10,Go and Watch,Positive,1,822174,8.9,7.6,5
Myriam Fares: The Journey,0,0,0,Go and Watch,Positive,1,14399,8.1,7.4,5
Pretty Guardian Sailor Moon Eternal The Movie,20,0,0,Go and Watch,Positive,1,2275,7.8,7.7,5
Summertime,43,17,40,Go and Watch,Positive,1,2687,7.5,7.6,5
The Girl and the Gun,47,40,13,Go and Watch,Positive,1,1098,6.6,7.4,4.7
2 Hearts,40,20,40,Go and Watch,Positive,1,2733,7.8,2.3,3.4
A Perfect Ending,73,13,13,Go and Watch,Positive,1,2280,6.3,5.9,4.1
American Outlaws,13,17,70,You Decide,Neutral,2,1321,7.6,7.2,4.9
And Then Came Lola,13,7,10,Do not Watch,Negative,0,6043,8.2,6,4.7
Attack on Titan,20,70,10,Do not Watch,Negative,0,5104,7.2,6.9,4.7
Battlefield Earth,40,47,13,Do not Watch,Negative,0,8252,7.8,6.6,4.8
Ben & Holly's Little Kingdom,37,3,23,Go and Watch,Positive,1,7178,8.7,6.6,5
Black Holes | The Edge of All We Know,3,3,20,Go and Watch,Positive,1,2248,7.4,6.8,4.7
Bliss,67,13,20,Go and Watch,Positive,1,18973,8.3,5.7,4.7
Carnaval,0,27,73,You Decide,Neutral,2,1977,7.9,6.1,4.7
Cloudburst,33,13,53,You Decide,Neutral,2,1698,7.4,6.1,4.5
Cocomelon,37,30,33,Go and Watch,Positive,1,9362,6.8,6.2,4.3
Company of Heroes,83,7,10,Go and Watch,Positive,1,1143,6.9,5.3,4.1
Cradle 2 the Grave,23,37,30,Do not Watch,Negative,0,1143,6.7,8.1,4.9
Domestic Disturbance,0,97,3,Do not Watch,Negative,0,5049,7.8,7.6,5
Downton Abbey,13,10,77,You Decide,Neutral,2,16936,8.3,7.1,5
Dream/Killer,40,57,3,Do not Watch,Negative,0,1991,5.8,6.9,4.2
Felon,27,23,50,You Decide,Neutral,2,2836,6.5,6.3,4.3
Flipped,40,20,40,Go and Watch,Positive,1,4594,7.5,7.4,5
Fools Rush In,23,70,7,Do not Watch,Negative,0,11187,6.2,7,4.4
Gold Statue,43,17,40,Go and Watch,Positive,1,6106,7.9,7.8,5
Happy Endings,67,20,13,Go and Watch,Positive,1,32805,7.2,6.9,4.7
Hostel: Part III,0,13,13,Do not Watch,Negative,0,1520,6.7,5.6,4.1
I Am Sam,30,40,30,Do not Watch,Negative,0,1606,5.8,7,4.3
Love Jones,87,7,7,Go and Watch,Positive,1,1857,5.5,8.2,4.6
Million Dollar Baby,23,20,57,You Decide,Neutral,2,1200,8.5,7.8,5
Mosquita y Mari,0,0,0,Go and Watch,Positive,1,3945,8.4,7.2,5
Never Back Down 2: The Beatdown,0,0,7,You Decide,Neutral,2,6383,7.8,8.7,5
Ninja Assassin,33,27,40,You Decide,Neutral,2,6267,6,7.3,4.4
Ouran High School Host Club,20,17,63,You Decide,Neutral,2,11855,8,6.8,4.9
Population 436,3,7,10,Do not Watch,Negative,0,1569,5.9,8,4.6
Racket Boys,30,10,60,You Decide,Neutral,2,3273,6.8,7.1,4.6
Seven Souls in the Skull Castle: Season Moon Jogen,0,0,0,Go and Watch,Positive,1,1342,7.1,6.6,4.6
Seven Souls in the Skull Castle: Season Moon Kagen,0,0,0,Go and Watch,Positive,1,3465,7.9,7.3,5
Sniper: Legacy,10,17,30,You Decide,Neutral,2,5585,7.8,6.4,4.7
Starsky & Hutch,30,13,57,You Decide,Neutral,2,6815,7.5,6.3,4.6
Streets of Fire,20,57,23,Do not Watch,Negative,0,4163,8.1,7.4,5
Super Monsters: Once Upon a Rhyme,0,0,0,Go and Watch,Positive,1,1141,7.1,6.2,4.4
Swordfish,10,23,67,You Decide,Neutral,2,1266,3.8,6.3,3.4
The Adventures of Sonic the Hedgehog,87,3,10,Go and Watch,Positive,1,7552,9.1,8.1,5
The Four Seasons,37,7,57,Do not Watch,Negative,0,1321,7.3,7.8,5
The Girl King,33,27,40,You Decide,Neutral,2,2154,7.1,7,4.7
The Interpreter,33,27,40,You Decide,Neutral,2,3327,6.2,7.1,4.4
The Meddler,33,37,30,Do not Watch,Negative,0,3657,6.8,7.1,4.6
The Mirror Has Two Faces,20,13,37,You Decide,Neutral,2,5122,7.5,7,4.8
The Outlaw Josey Wales,30,20,50,You Decide,Neutral,2,16095,6.8,6,4.3
The Platform,30,33,37,You Decide,Neutral,2,1925,7.4,7.1,4.8
The Wedding Guest,37,30,33,Go and Watch,Positive,1,36491,8.6,7,5
The Wind,60,7,33,Do not Watch,Negative,0,3362,8.1,8.1,5
Then Came You,33,37,30,Do not Watch,Negative,0,7235,7.5,5.4,4.3
Welcome Home,97,0,3,Go and Watch,Positive,1,1897,7.9,7.7,5
Dirty John,30,50,20,Do not Watch,Negative,0,11904,7.7,8.1,5
Bo Burnham: Inside,47,17,37,Go and Watch,Positive,1,1598,7.8,6.6,4.8
One Lagos Night,33,40,27,Do not Watch,Negative,0,27503,6.5,5.9,4.1
Collateral Beauty,87,3,10,Go and Watch,Positive,1,3886,4.7,7.3,4
Dog Gone Trouble,3,10,0,Go and Watch,Positive,1,16390,6.6,7.5,4.7
The Kominsky Method,27,13,60,You Decide,Neutral,2,26742,6.1,7.2,4.4
The Least Expected Day: Inside the Movistar Team 2019,0,0,0,Go and Watch,Positive,1,1773,7.3,7.6,5
Word of Honor,80,13,7,Go and Watch,Positive,1,6982,8.3,5.3,4.5
Black Space,40,27,33,Go and Watch,Positive,1,9777,7.2,6.6,4.6
Blue Miracle,63,3,33,Go and Watch,Positive,1,11797,7,8.4,5
Eden,67,0,33,Go and Watch,Positive,1,3335,8.4,8.6,5
Ghost Lab,33,47,20,Do not Watch,Negative,0,8654,8.4,5.1,4.5
Ragnarok,30,13,57,You Decide,Neutral,2,1995,8.1,4.7,4.3
Soy Rada: Serendipity,0,0,0,Go and Watch,Positive,1,1520,7.1,6.3,4.5
The Day I lost My Shadow,10,7,3,Do not Watch,Negative,0,13372,7.9,7.1,5
Baggio: The Divine Ponytail,20,0,7,You Decide,Neutral,2,3209,8.5,7.3,5
Motu Patlu: Deep Sea Adventure,0,0,0,Go and Watch,Positive,1,1656,8.4,6.2,4.9
Durarara!!,40,3,57,You Decide,Neutral,2,11393,7.7,7.1,4.9
Universal Soldier: The Return,10,3,3,Do not Watch,Negative,0,2973,5.7,5.9,3.9
Safe Haven,70,7,23,Go and Watch,Positive,1,28118,7.9,6.1,4.7
Little Big Women,23,40,37,Do not Watch,Negative,0,75780,8.8,6.8,5
Nailed It! Mexico,10,3,17,Do not Watch,Negative,0,50153,8.5,8.3,5
Nocturnal Animals,27,10,63,You Decide,Neutral,2,2039,7.5,6.4,4.6
Over Christmas,33,30,37,You Decide,Neutral,2,16505,7.4,6.3,4.6
Love & Anarchy,83,3,13,Go and Watch,Positive,1,7489,7.7,8,5
Someone Has to Die,13,77,10,Do not Watch,Negative,0,1897,8.1,8.2,5
Golmaal Returns,13,0,13,Go and Watch,Positive,1,26634,8.4,5.1,4.5
Transformers: Cyberverse,40,23,37,Go and Watch,Positive,1,59256,7.8,7.2,5
(Un)Well,53,20,27,Go and Watch,Positive,1,3665,7.1,6.8,4.6
The Players,57,17,27,Go and Watch,Positive,1,1160,6.7,7.4,4.7
Vivah,17,7,77,You Decide,Neutral,2,6137,7.5,5.9,4.5
True: Rainbow Rescue,3,0,3,Go and Watch,Positive,1,8799,7.8,2.6,3.5
The Wrong Missy,17,70,13,Do not Watch,Negative,0,9010,7.1,5.1,4.1
After Life,43,33,23,Go and Watch,Positive,1,2704,6.9,7.7,4.9
Saint Seiya,0,43,57,You Decide,Neutral,2,4394,7.2,6.7,4.6
Angu Vaikuntapurathu (Malayalam),0,0,0,Go and Watch,Positive,1,3330,8.2,6.5,4.9
Jada,23,30,47,You Decide,Neutral,2,41596,6.7,7.4,4.7
Until Dawn,27,33,40,You Decide,Neutral,2,2579,7.6,7.9,5
Isoken,7,0,93,You Decide,Neutral,2,11627,7.6,6.1,4.6
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,0,0,0,Go and Watch,Positive,1,46900,7.7,5.6,4.4
Maid-Sama!,33,17,50,You Decide,Neutral,2,24077,5.2,5.7,3.6
Rhythm + Flow,33,37,30,Do not Watch,Negative,0,1775,7.1,8.2,5
Moving Art,53,13,33,Go and Watch,Positive,1,4978,6.3,4.8,3.7
My First First Love,73,13,13,Go and Watch,Positive,1,1832,7.4,8.1,5
Pihu,10,0,90,You Decide,Neutral,2,1276,7,8,5
The Society,40,37,23,Go and Watch,Positive,1,1346,7.4,6.2,4.5
Quicksand,20,33,47,You Decide,Neutral,2,7345,8.1,8.1,5
That Thing Called Tadhana,20,3,33,You Decide,Neutral,2,2488,5.9,8.2,4.7
LEGO Marvel Super Heroes: Guardians of the Galaxy,0,0,0,Go and Watch,Positive,1,2663,5.7,7.3,4.3
Sam Kinison: The Scream Continues,0,0,0,Go and Watch,Positive,1,2265,6.4,8.3,4.9
Haunted House,30,63,7,You Decide,Neutral,2,44939,8.3,5.2,4.5
Hattrick,27,13,60,You Decide,Neutral,2,1806,7.7,6.3,4.7
Eric ldle's What About Dick?,0,0,0,Go and Watch,Positive,1,43477,7.9,7.2,5
Super Monsters Monster Party,0,0,0,Go and Watch,Positive,1,11240,7.5,8.1,5
Invisible,40,10,50,You Decide,Neutral,2,63778,7.1,7.5,4.9
Bad Genius,27,70,3,Do not Watch,Negative,0,1607,7.5,7.2,4.9
Todo lo que sería Lucas Lauriente,0,0,0,Go and Watch,Positive,1,1904,7.9,6.8,4.9
Love Per Square Foot,17,0,0,Go and Watch,Positive,1,6318,6.9,4.7,3.9
DreamWorks Home: For the Holidays,0,0,0,Go and Watch,Positive,1,30573,7.6,8.3,5
Generation Iron 2,3,3,0,Go and Watch,Positive,1,2826,6.8,8,4.9
LEGO Marvel Super Heroes: Avengers Reassembled!,0,0,0,Go and Watch,Positive,1,2858,6.7,8.5,5
Shimmer Lake,17,0,7,You Decide,Neutral,2,2703,6.6,7.4,4.7
Win It All,57,37,7,You Decide,Neutral,2,2268,7.8,7.5,5
We're Lalaloopsy,0,0,0,Go and Watch,Positive,1,3832,6.1,7.5,4.5
They Are Everywhere,33,47,20,Do not Watch,Negative,0,1622,6.4,5.2,3.9
The Fundamentals of Caring,83,10,7,Go and Watch,Positive,1,14109,7.8,7.8,5
Breaking Bad,13,83,3,Do not Watch,Negative,0,2571,7.5,6.8,4.8
A Haunting at Silver Falls: The Return,0,0,0,Go and Watch,Positive,1,1511,7.2,7.9,5
American Experience: The Island Murder,0,0,0,Go and Watch,Positive,1,7298,7.3,7.4,4.9
Barbie: Princess Charm School,93,3,3,Go and Watch,Positive,1,1348,6.9,6.8,4.6
Blue Mountain State: The Rise of Thadland,0,0,0,Go and Watch,Positive,1,1281,6.6,7,4.5
Chal Mere Bhai,30,10,60,You Decide,Neutral,2,1538,6.5,8.2,4.9
Crash,13,73,13,Do not Watch,Negative,0,9968,8,6,4.7
Dr. Seuss' The Grinch,33,3,23,Go and Watch,Positive,1,3229,5.8,7.1,4.3
Farce,10,70,20,Do not Watch,Negative,0,1806,7.7,5.8,4.5
Get Santa,57,20,23,Go and Watch,Positive,1,1539,8.1,5.8,4.6
Have You Seen the Listers?,0,0,0,Go and Watch,Positive,1,6455,6.8,6.8,4.5
I Am Not Madame Bovary,0,3,0,Do not Watch,Negative,0,5226,7.8,5.8,4.5
Jonathan Strange & Mr Norrell,37,60,3,Do not Watch,Negative,0,2651,7.2,6.6,4.6
Kung Fu Magoo,0,0,0,Go and Watch,Positive,1,1521,8.7,6.5,5
Los tiempos de Pablo Escobar,3,30,67,You Decide,Neutral,2,1484,7.9,6.9,4.9
Memoir of a Murderer,7,83,10,Do not Watch,Negative,0,1585,7,6.8,4.6
My Life My Story,30,10,60,You Decide,Neutral,2,2224,6.6,7.1,4.6
OCTB,3,3,93,You Decide,Neutral,2,14782,7.5,7.4,5
Pick of the Litter,50,17,33,Go and Watch,Positive,1,2348,7.9,7.2,5
Rebelde,3,17,80,You Decide,Neutral,2,3536,7.2,5.5,4.2
Sat Sri Akal,30,0,70,You Decide,Neutral,2,1898,8.7,6.8,5
Slobby's World,0,0,0,Go and Watch,Positive,1,1685,7.2,7.3,4.8
Swiss Army Man,37,13,50,You Decide,Neutral,2,1207,3.9,6.3,3.4
The Cell,50,27,23,Go and Watch,Positive,1,34278,6.7,7.6,4.8
The Heat: A Kitchen (R)evolution,0,0,0,Go and Watch,Positive,1,2092,6.6,8,4.9
The NSU-Complex,0,0,0,Go and Watch,Positive,1,5863,7.8,6.1,4.6
